Date,Dividends
1985-02-21,0.13333766
1985-05-16,0.13333766
1985-08-22,0.14663133
1985-11-21,0.166722
1986-02-21,0.166722
1986-05-21,0.166722
1986-08-21,0.166722
1986-11-20,0.166722
1987-02-20,0.166722
1987-05-21,0.166722
1987-08-20,0.166722
1987-11-19,0.166722
1988-02-19,0.166722
1988-05-19,0.166722
1988-08-19,0.166722
1988-11-18,0.18671267
1989-02-17,0.18671267
1989-05-22,0.18671267
1989-08-21,0.18671267
1989-11-17,0.19331
1990-02-20,0.19331
1990-05-21,0.19331
1990-08-20,0.19331
1990-11-19,0.20000666
1991-02-19,0.20000666
1991-05-20,0.20000666
1991-08-20,0.20000666
1991-11-19,0.20670334
1992-02-19,0.20670334
1992-05-19,0.20670334
1992-08-19,0.20670334
1992-11-19,0.21330066
1993-02-19,0.21330066
1993-05-19,0.21330066
1993-08-19,0.21330066
1993-11-18,0.21999733
1994-02-18,0.21989733
1994-05-19,0.22
1994-08-19,0.22
1994-11-18,0.23
1995-02-21,0.23
1995-05-19,0.23
1995-08-23,0.23
1995-11-22,0.24
1996-02-22,0.24
1996-05-23,0.24
1996-08-22,0.24
1996-11-21,0.25
1997-02-21,0.25
1997-05-22,0.25
1997-08-21,0.255
1997-11-21,0.265
1998-02-23,0.265
1998-05-21,0.265
1998-08-21,0.265
1998-11-23,0.275
1999-02-23,0.275
1999-05-21,0.275
1999-08-23,0.275
1999-11-22,0.285
2000-02-23,0.285
2000-05-23,0.285
2000-08-23,0.285
2000-11-20,0.29
2001-02-22,0.29
2001-05-23,0.29
2001-08-22,0.29
2001-11-21,0.295
2002-02-21,0.295
2002-05-23,0.295
2002-08-22,0.295
2002-11-21,0.3
2003-02-21,0.3
2003-05-22,0.3
2003-08-21,0.3
2003-11-21,0.305
2004-02-23,0.305
2004-05-21,0.305
2004-08-23,0.305
2004-11-22,0.31
2005-02-23,0.31
2005-05-23,0.31
2005-08-23,0.31
2005-11-22,0.315
2006-02-23,0.315
2006-05-23,0.315
2006-08-23,0.315
2006-11-22,0.32
2007-02-22,0.32
2007-05-23,0.32
2007-08-23,0.32
2007-11-21,0.325
2008-02-21,0.325
2008-05-22,0.325
2008-08-21,0.325
2008-11-21,0.33
2009-02-23,0.33
2009-05-21,0.33
2009-08-21,0.33
2009-11-23,0.335
2010-02-23,0.335
2010-05-21,0.335
2010-08-23,0.335
2010-11-23,0.34
2011-02-23,0.34
2011-05-23,0.34
2011-08-23,0.34
2011-11-22,0.345
2012-02-23,0.345
2012-05-23,0.345
2012-08-23,0.345
2012-11-21,0.35
2013-02-28,0.35
2013-05-16,0.35
2013-08-22,0.35
2013-11-21,0.37
2014-02-20,0.37
2014-05-22,0.37
2014-08-21,0.37
2014-11-20,0.39
2015-02-19,0.39
2015-05-21,0.39
2015-08-20,0.39
2015-11-19,0.42
2016-02-18,0.42
2016-05-19,0.42
2016-08-18,0.42
2016-11-23,0.45
2017-02-23,0.45
2017-05-18,0.45
2017-08-17,0.45
2017-11-24,0.485
2018-02-23,0.485
2018-05-18,0.485
2018-08-24,0.485
2018-11-23,0.525
2019-02-22,0.525
2019-05-24,0.525
2019-08-23,0.525
2019-11-22,0.575
2020-02-21,0.575
2020-05-22,0.575
2020-08-21,0.575
2020-11-27,0.625
2021-02-19,0.625
2021-05-21,0.625
2021-08-20,0.625
2021-11-26,0.68
2022-02-17,0.68
